BALTIC EQUITY LIST
DATE: 2008-11-21
Name;Currency;MarketPlace;ListName;Average Price;Open Price;High Price;Low Price;Last close Price;Last Price;Price Change(%);Best bid;Best ask;Deals;No of shares;Turnover
LKB2R;EUR;RSE;BALTIC SECONDARY LIST;0,00;9,32;0,00;0,00;9,32;9,32;-%;0,00;9,25;0;0;0,00;
LLK1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,23;0,00;0,00;0,23;0,23;-%;0,22;0,23;0;0;0,00;
LME1R;EUR;RSE;BALTIC SECONDARY LIST;1,64;1,58;1,64;1,57;1,78;1,64;-8,00%;1,58;1,64;9;17975;29707,07;
LNS1L;EUR;VSE;BALTIC SECONDARY LIST;0,04;0,04;0,04;0,04;0,03;0,04;8,33%;0,03;0,03;2;1400;52,71;
LOK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,34;0,00;0,00;0,34;0,34;-%;0,30;0,34;0;0;0,00;
LTT1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,07;0,00;0,00;4,07;4,07;-%;3,53;4,07;0;0;0,00;
NDL1L;EUR;VSE;BALTIC SECONDARY LIST;32,02;32,44;32,44;31,71;34,75;31,86;-8,33%;0,00;31,86;5;35;1120,68;
NKA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,64;0,00;0,00;0,64;0,64;-%;0,55;0,71;0;0;0,00;
NLB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;4,55;0,00;0,00;4,55;4,55;-%;0,00;4,55;0;0;0,00;
OLK1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,17;0,00;0,00;0,17;0,17;-%;0,16;0,18;0;0;0,00;
PRM1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;0,81;0,00;0,00;0,81;0,81;-%;0,00;0,75;0;0;0,00;
RAR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,21;0,00;0,00;0,21;0,21;-%;0,20;0,23;0;0;0,00;
RER1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,96;0,00;0,00;1,96;1,96;-%;1,68;1,98;0;0;0,00;
RJR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,11;0,00;0,00;0,11;0,11;-%;0,10;0,11;0;0;0,00;
RKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,48;0,48;0,48;0,48;0,48;0,48;-%;0,46;0,47;1;600;290,27;
RRR1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,65;0,00;0,00;0,65;0,65;-%;0,00;0,68;0;0;0,00;
SCM1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,92;0,00;0,00;1,92;1,92;-%;0,00;0,00;0;0;0,00;
SMA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;6,39;0,00;0,00;6,39;6,39;-%;0,00;6,39;0;0;0,00;
SRS1L;EUR;VSE;BALTIC SECONDARY LIST;0,08;0,08;0,09;0,08;0,08;0,09;6,90%;0,09;0,09;118;499013;42300,73;
SRS2L;EUR;VSE;BALTIC SECONDARY LIST;1,85;1,85;1,85;1,85;1,98;1,85;-6,57%;1,69;1,85;1;110;203,89;
STU1L;EUR;VSE;BALTIC SECONDARY LIST;1,25;1,27;1,29;1,22;1,29;1,22;-6,04%;1,13;1,22;6;1105;1376,58;
TKB1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,54;0,00;0,00;0,54;0,54;-%;0,50;0,55;0;0;0,00;
TMA1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;0,73;0,00;0,00;0,73;0,73;-%;0,00;0,78;0;0;0,00;
VDG1L;EUR;VSE;BALTIC SECONDARY LIST;0,32;0,32;0,32;0,32;0,30;0,32;4,76%;0,00;0,32;1;200;63,72;
VEF1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,64;0,00;0,00;1,64;1,64;-%;0,00;0,00;0;0;0,00;
VSS1R;EUR;RSE;BALTIC SECONDARY LIST;0,47;0,47;0,48;0,47;0,47;0,47;-%;0,47;0,48;3;1600;754,12;
VST1L;EUR;VSE;BALTIC SECONDARY LIST;0,00;124,54;0,00;0,00;124,54;124,54;-%;107,16;130,04;0;0;0,00;
ZMP1L;EUR;VSE;BALTIC SECONDARY LIST;0,16;0,17;0,17;0,15;0,17;0,16;-3,45%;0,15;0,16;7;3230;521,84;
ZOV1R;EUR;RSE;BALTIC SECONDARY LIST;0,00;1,20;0,00;0,00;1,20;1,20;-%;0,00;0,00;0;0;0,00;
